Unnamed: 0,Title,Author,Published,Link
170,Medicinal plant compounds as promising inhibitors of coronavirus (COVID-19) main protease: an in silico study,"Clark, C. C. T.",22-Nov-22,https://pureportal.coventry.ac.uk/en/publications/medicinal-plant-compounds-as-promising-inhibitors-of-coronavirus-
171,Medicines prescribing for homeless persons: analysis of prescription data from specialist homelessness general practices,"Kurmi, O.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/medicines-prescribing-for-homeless-persons-analysis-of-prescripti
172,Microwave and Terahertz Sensing,"Shah, S. A.",1-Jan-22,https://pureportal.coventry.ac.uk/en/publications/microwave-and-terahertz-sensing
173,"Modified Mediterranean diet vs. Traditional Iranian diet: Efficacy of dietary interventions on dietary inflammatory index score, fatigue severity and disability in multiple sclerosis patients","Clark, C. C. T.",14-Oct-22,https://pureportal.coventry.ac.uk/en/publications/modified-mediterranean-diet-vs-traditional-iranian-diet-efficacy-
174,Monitoring Discrete Activities of Daily Living of Young & Older Adults using 5.8 GHz Frequency Modulated Continuous Wave Radar and ResNet Algorithm,"Saeed, U.",2022,https://pureportal.coventry.ac.uk/en/publications/monitoring-discrete-activities-of-daily-living-of-young-amp-older
175,Motor Competence Among Children in the United Kingdom and Ireland: An Expert Statement on Behalf of the International Motor Development Research Consortium,"Duncan, M.",1-Apr-22,https://pureportal.coventry.ac.uk/en/publications/motor-competence-among-children-in-the-united-kingdom-and-ireland
176,Motor Competence Interventions in Children and Adolescents - Theoretical and Atheoretical Approaches: A Systematic Review,"Duncan, M.",2022,https://pureportal.coventry.ac.uk/en/publications/motor-competence-interventions-in-children-and-adolescents-theore
177,Movement behaviors in short versus adequate nocturnal sleepers: A compositional analysis of preschoolers,"Clark, C. C. T.",May-22,https://pureportal.coventry.ac.uk/en/publications/movement-behaviors-in-short-versus-adequate-nocturnal-sleepers-a-
178,"Multi-disciplinary Evaluation of Sexual Assault Referral Centres (SARCs) for better Health (MESARCH): protocol for a 1-year cohort study examining health, well-being and cost outcomes in adult survivors of sexual assault attending SARCs in England","O'Doherty, L.",24-May-22,https://pureportal.coventry.ac.uk/en/publications/multi-disciplinary-evaluation-of-sexual-assault-referral-centres-
179,Multiple Participants’ Discrete Activity Recognition in a Well-Controlled Environment Using Universal Software Radio Peripheral Wireless Sensing,"Saeed, U.",21-Jan-22,https://pureportal.coventry.ac.uk/en/publications/multiple-participants-discrete-activity-recognition-in-a-well-con
180,Negotiating ideologies and the moral order in child protection social work,"Lutman-White, E.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/negotiating-ideologies-and-the-moral-order-in-child-protection-so
181,Neural Entrainment to Rhythms of Imagined Syllables,"Liu, H.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/neural-entrainment-to-rhythms-of-imagined-syllables
182,Novel Privacy Preserving Non-Invasive Sensing-Based Diagnoses of Pneumonia Disease Leveraging Deep Network Model,"Shah, S. A.",8-Jan-22,https://pureportal.coventry.ac.uk/en/publications/novel-privacy-preserving-non-invasive-sensing-based-diagnoses-of-
183,Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,"Allen, J.",24-Oct-22,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n
184,Nurse-led mental and physical healthcare for the homeless community: A qualitative evaluation,"Whelan, M.",Nov-22,https://pureportal.coventry.ac.uk/en/publications/nurse-led-mental-and-physical-healthcare-for-the-homeless-communi
185,Nutritional interventions in older people with COVID-19: an overview of the evidence,,1-Feb-22,https://pureportal.coventry.ac.uk/en/publications/nutritional-interventions-in-older-people-with-covid-19-an-overvi
186,O8-1 24-Hour Movement Behavior and Fundamental Movement Skills in Pre-School Children: A Compositional Analysis,"Clark, C. C. T.",27-Aug-22,https://pureportal.coventry.ac.uk/en/publications/o8-1-24-hour-movement-behavior-and-fundamental-movement-skills-in
187,Obesity Paradox: Does It Lengthen Survival in Iranian COVID Patients?,"Clark, C.",1-Jul-22,https://pureportal.coventry.ac.uk/en/publications/obesity-paradox-does-it-lengthen-survival-in-iranian-covid-patien
188,Older Individuals Convicted of Sexual Offenses: A Literature Review,"Tramontano, C.",Apr-22,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie
189,Optimizing Motor Learning: Difficulty Manipulation Combined with Feedback- Frequency Enhance Under-Time-Pressure Fine-Motor-Coordination Skill Acquisition and Retention,"Clark, C. C. T.",2022,https://pureportal.coventry.ac.uk/en/publications/optimizing-motor-learning-difficulty-manipulation-combined-with-f
190,Parents' Experiences of Children's Healthcare for Hypermobile Ehlers-Danlos Syndrome and Hypermobility Spectrum Disorders,"Pearce, G.",2-Jan-22,https://pureportal.coventry.ac.uk/en/publications/parents-experiences-of-childrens-healthcare-for-hypermobile-ehler
191,Partial sleep restriction impairs static postural control in elite judo athletes,"Clark, C. C. T.",3-Apr-22,https://pureportal.coventry.ac.uk/en/publications/partial-sleep-restriction-impairs-static-postural-control-in-elit
192,Performance assessment of an improved gasifier stove using biomass pellets: An experimental and numerical investigation,"Kurmi, O. P.",Oct-22,https://pureportal.coventry.ac.uk/en/publications/performance-assessment-of-an-improved-gasifier-stove-using-biomas
193,"Personalized wearable electrodermal sensing-based human skin hydration level detection for sports, health and wellbeing","Shah, S. A.",8-Mar-22,https://pureportal.coventry.ac.uk/en/publications/personalized-wearable-electrodermal-sensing-based-human-skin-hydr
194,Photoplethysmography temporal marker-based machine learning classifier for anesthesia drug detection,"Liu, H.",Nov-22,https://pureportal.coventry.ac.uk/en/publications/photoplethysmography-temporal-marker-based-machine-learning-class
195,"Physical exercise, Sedentary Behaviour, Sleep and Depression Symptoms in Chinese Young Adults During the COVID-19 Pandemic: A Compositional Isotemporal Analysis","Clark, C.",27-Jul-22,https://pureportal.coventry.ac.uk/en/publications/physical-exercise-sedentary-behaviour-sleep-and-depression-sympto
196,Physiological responses of small-sided vs. regular games in youth volleyball players,"Clark, C. C. T.",10-May-22,https://pureportal.coventry.ac.uk/en/publications/physiological-responses-of-small-sided-vs-regular-games-in-youth-
197,Potential risk factors of persistent postural-perceptual dizziness: a pilot study,"Liu, H.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/potential-risk-factors-of-persistent-postural-perceptual-dizzines
198,Probiotics supplementation and brain-derived neurotrophic factor (BDNF): a systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",22-Aug-22,https://pureportal.coventry.ac.uk/en/publications/probiotics-supplementation-and-brain-derived-neurotrophic-factor-
199,Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,"Allen, J.",18-Aug-22,https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p
200,Protocol update for a randomised controlled feasibility trial of exercise rehabilitation for people with postural tachycardia syndrome: the PULSE study,"McGregor, G.",7-May-22,https://pureportal.coventry.ac.uk/en/publications/protocol-update-for-a-randomised-controlled-feasibility-trial-of-
201,Ramadan observance is associated with higher fatigue and lower vigor in athletes: a systematic review and meta-analysis with meta-regression,"Clark, C. C. T.",24-Aug-22,https://pureportal.coventry.ac.uk/en/publications/ramadan-observance-is-associated-with-higher-fatigue-and-lower-vi
202,Real-Time Human Activity Recognition System Exploiting Ubiquitous Wi-Fi Signals,"Shah, S. A.",16-Feb-22,https://pureportal.coventry.ac.uk/en/publications/real-time-human-activity-recognition-system-exploiting-ubiquitous
203,Regional identification of information flow termination of electrohysterographic signals: Towards understanding human uterine electrical propagation,"Xu, Y.",Aug-22,https://pureportal.coventry.ac.uk/en/publications/regional-identification-of-information-flow-termination-of-electr
204,Relationship between the double burden of malnutrition and mental health in overweight and obese adult women,"Clark, C. C. T.",21-Feb-22,https://pureportal.coventry.ac.uk/en/publications/relationship-between-the-double-burden-of-malnutrition-and-mental
205,Reliability and Validity of a New Taekwondo-Specific Change-of-Direction Speed Test With Striking Techniques in Elite Taekwondo Athletes: A Pilot Study,"Clark, C. C. T.",26-Apr-22,https://pureportal.coventry.ac.uk/en/publications/reliability-and-validity-of-a-new-taekwondo-specific-change-of-di
206,Reliable Detection of Myocardial Ischemia Using Machine Learning Based on Temporal-Spatial Characteristics of Electrocardiogram and Vectorcardiogram,"Liu, H.",30-May-22,https://pureportal.coventry.ac.uk/en/publications/reliable-detection-of-myocardial-ischemia-using-machine-learning-
207,"Religious fasting and its impacts on individual, public, and planetary health: Fasting as a “religious health asset” for a healthier, more equitable, and sustainable society","Clark, C. C. T.",24-Nov-22,https://pureportal.coventry.ac.uk/en/publications/religious-fasting-and-its-impacts-on-individual-public-and-planet
208,Responses of some matrix metalloproteinases activities to an acute session of endurance exercise and electrical stimulation in induced myocardial infarction in Wistar rats,"Clark, C. C. T.",10-Jun-22,https://pureportal.coventry.ac.uk/en/publications/responses-of-some-matrix-metalloproteinases-activities-to-an-acut
209,Retinal microvascular associations with cardiometabolic risk factors differ by diabetes status: results from the UK Biobank,"Tapp, R. J.",Oct-22,https://pureportal.coventry.ac.uk/en/publications/retinal-microvascular-associations-with-cardiometabolic-risk-fact
210,RF Based Real Time Human Motion Sensing,"Shah, S. A.",16-Feb-22,https://pureportal.coventry.ac.uk/en/publications/rf-based-real-time-human-motion-sensing
211,RL-Recruiter+: Mobility-Predictability-Aware Participant Selection Learning for From-Scratch Mobile Crowdsensing,"Wang, J.",1-Dec-22,https://pureportal.coventry.ac.uk/en/publications/rl-recruiter-mobility-predictability-aware-participant-selection-
212,Sommeil et somnolence diurne chez des athlètes élites et des sujets sédentaires,"Clark, C. C. T.",Feb-22,https://pureportal.coventry.ac.uk/en/publications/sommeil-et-somnolence-diurne-chez-des-athl%C3%A8tes-%C3%A9lites-et-des-suje
213,Sources of automatic office blood pressure measurement error: a systematic review,"Zheng, D.",30-Sep-22,https://pureportal.coventry.ac.uk/en/publications/sources-of-automatic-office-blood-pressure-measurement-error-a-sy
214,SPACE FOR COPD delivered as a maintenance programme on Pulmonary Rehabilitation discharge: protocol of a randomised controlled trial evaluating the long-term effects on exercise tolerance and mental well-being,"Szczepura, A.",25-Apr-22,https://pureportal.coventry.ac.uk/en/publications/space-for-copd-delivered-as-a-maintenance-programme-on-pulmonary-
215,Spatial-Attention and Demographic-Augmented Generative Adversarial Imputation Network for Population Health Data Reconstruction,"Wang, J.",8-Dec-22,https://pureportal.coventry.ac.uk/en/publications/spatial-attention-and-demographic-augmented-generative-adversaria
216,Statistical Analysis of the Consistency of HRV Analysis Using BCG or Pulse Wave Signals,"Zheng, D.",21-Mar-22,https://pureportal.coventry.ac.uk/en/publications/statistical-analysis-of-the-consistency-of-hrv-analysis-using-bcg
217,"Survivor, family and professional experiences of psychosocial interventions for sexual abuse and violence: a qualitative evidence synthesis","Carter, G.",4-Oct-22,https://pureportal.coventry.ac.uk/en/publications/survivor-family-and-professional-experiences-of-psychosocial-inte-2
218,"Systematic Review of Physical Activity, Sedentary Behaviour and Sleep Among Adults Living with Chronic Respiratory Disease in Low- and Middle-Income Countries.","Wilde, L. J.",18-Apr-22,https://pureportal.coventry.ac.uk/en/publications/systematic-review-of-physical-activity-sedentary-behaviour-and-sl
219,The Acute Effects of Cognitively Demanding Physical Activity on Inhibitory and Affective Responses in Children: An Online-Based Mixed Methods Approach,"Martins, R. M. G.",2-Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-acute-effects-of-cognitively-demanding-physical-activity-on-i
220,"The association between dietary inflammatory index, muscle strength, muscle endurance, and body composition in Iranian adults","Clark, C. C. T.",Mar-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-inflammatory-index-muscle-strengt
221,The association between dietary total antioxidant capacity with risk of rheumatoid arthritis in adults: A case–control study,"Clark, C. C. T.",Oct-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-total-antioxidant-capacity-with-r
222,The Association between Healthy Beverage Index and Healthy and Unhealthy Obesity Phenotypes among Obese Women: A Cross-Sectional Study,"Clark, C. C. T.",29-Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-healthy-and-un
223,The association between Healthy Beverage Index and psychological disorders among overweight and obese women: a cross-sectional study,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-psychological-
224,The association between lunch composition and obesity in Iranian adults,"Clark, C. C. T.",28-May-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-lunch-composition-and-obesity-in-iranian-
225,The association between modified Nordic diet with sleep quality and circadian rhythm in overweight and obese woman: a cross-sectional study,"Clark, C. C. T.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-modified-nordic-diet-with-sleep-quality-a
226,The association between recommended and non-recommended food scores on cardiovascular risk factors in obese and overweight adult women: a cross-sectional study,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-recommended-and-non-recommended-food-scor
227,The association between the Healthy Eating Index (HEI-2015) score and body composition among Iranian soccer players and referees: a cross-sectional study,"Clark, C. C. T.",11-Jul-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-the-healthy-eating-index-hei-2015-score-a
228,The association between urinary metabolites of polycyclic aromatic hydrocarbons (PAHs) and cardiovascular diseases and blood pressure: a systematic review and meta-analysis of observational studies,"Clark, C. C. T.",Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-association-between-urinary-metabolites-of-polycyclic-aromati
229,"The association of appetite and hormones (leptin, ghrelin, and Insulin) with resting metabolic rate in overweight/ obese women: a case–control study","Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-association-of-appetite-and-hormones-leptin-ghrelin-and-insul
230,The association of Carbohydrate Quality Index with cardiovascular disease risk factors among women with overweight and obesity: A cross-sectional study,"Clark, C. C. T.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/the-association-of-carbohydrate-quality-index-with-cardiovascular
231,The association of dietary acid load with resting metabolic rate and metabolic components in overweight and obese women: A cross sectional study,"Clark, C. C. T.",Feb-22,https://pureportal.coventry.ac.uk/en/publications/the-association-of-dietary-acid-load-with-resting-metabolic-rate-
232,"The Association of Inflammatory Markers, IL-1α and TGF-β, with Dietary Insulin Load and Dietary Insulin Index in Overweight and Obese Women with Healthy and Unhealthy Metabolic Phenotypes: A Cross-Sectional Study","Clark, C. C. T.",13-Oct-22,https://pureportal.coventry.ac.uk/en/publications/the-association-of-inflammatory-markers-il-1%CE%B1-and-tgf-%CE%B2-with-diet
233,The association of meal glycemic index/load with quantitative and qualitative indicators of sleep: a systematic review,"Clark, C. C.",1-Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-association-of-meal-glycemic-indexload-with-quantitative-and-
234,"The burden of injury in Central, Eastern, and Western European sub-region: a systematic analysis from the Global Burden of Disease 2019 Study","Kurmi, O. P.",20-May-22,https://pureportal.coventry.ac.uk/en/publications/the-burden-of-injury-in-central-eastern-and-western-european-sub-
235,The development of the Religious Health Interventions in Behavioural Science (RHIBS) Taxonomy: a scientific classification of religious practices in health,"Patel, R.",1-Oct-22,https://pureportal.coventry.ac.uk/en/publications/the-development-of-the-religious-health-interventions-in-behaviou
236,The effectiveness of nutritional interventions on COVID-19 outcomes: A protocol for systematic review and meta-analysis,"Clark, C. C. T.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/the-effectiveness-of-nutritional-interventions-on-covid-19-outcom
237,The effect of 8 weeks of combined interval (resistance-interval training) and combined endurance (endurance-resistance training) on plasma levels of adropin and nitric oxide in males with high blood pressure,"Clarck, C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-8weeks-of-combined-interval-resistance-interval-tra
238,"The effect of curcumin supplementation on delayed‐onset muscle soreness, inflammation, muscle strength, and joint flexibility: A systematic review and dose–response meta‐analysis of randomized controlled trials","Clark, C. C. T.",16-May-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-curcumin-supplementation-on-delayedonset-muscle-sor
239,The effect of Glucomannan on fasting and postprandial blood glucose in adults: a systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-glucomannan-on-fasting-and-postprandial-blood-gluco
240,The effect of grape products on liver enzymes: A systematic review and meta‐analysis of randomized controlled trials,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-grape-products-on-liver-enzymes-a-systematic-review
241,The effect of lycopene supplement from different sources on prostate specific antigen (PSA): A systematic review and meta-analysis of randomized controlled trials ☆,"Clark, C. C. T.",11-Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-lycopene-supplement-from-different-sources-on-prost
242,The Effect of Probiotics/synbiotics Supplementation on Renal and Liver Biomarkers in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomized-Controlled Trials,"Clark, C. C. T.",28-Aug-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-probioticssynbiotics-supplementation-on-renal-and-l
243,The Effect of Single-Anastomosis Sleeve Ileal (SASI) Bypass on Patients with Severe Obesity in Three Consecutive Years,"Clark, C. C. T.",Nov-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-single-anastomosis-sleeve-ileal-sasi-bypass-on-pati
244,"The effect of Spirulina sauce, as a functional food, on cardiometabolic risk factors, oxidative stress biomarkers, glycemic profile, and liver enzymes in nonalcoholic fatty liver disease patients: A randomized double-blinded clinical trial","Clark, C. C. T.",Feb-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-spirulina-sauce-as-a-functional-food-on-cardiometab
245,The Effect of Sub-chronic Administration of Brewed Coffee on Long-term Potentiation in a Rat Model of Alzheimer's Disease,"Clark, C. C. T.",Jul-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-sub-chronic-administration-of-brewed-coffee-on-long
246,"The effect of synbiotic supplementation on atherogenic indices, hs-CRP, and malondialdehyde, as major CVD-related parameters, in women with gestational diabetes mellitus: a secondary data-analysis of a randomized double-blind, placebo-controlled study","Clark, C. C. T.",21-Jun-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-synbiotic-supplementation-on-atherogenic-indices-hs
247,"The effect of the Dietary Approaches to Stop Hypertension (DASH) diet on body composition, complete blood count, prothrombin time, inflammation, and liver function in hemophilic adolescents","Clark, C. C. T.",14-Nov-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-the-dietary-approaches-to-stop-hypertension-dash-di
248,The effect of vitamin D supplementation on serum levels of fibroblast growth factor- 23: A systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-vitamin-d-supplementation-on-serum-levels-of-fibrob
249,The Effect of Walnut (Juglans regia) Leaf Extract on Glycemic Control and Lipid Profile in Patients With Type 2 Diabetes Mellitus: A Systematic Review and Meta-Analysis of Randomized Clinical Trials,"Clark, C. C. T.",25-Apr-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-walnut-ijuglans-regiai-leaf-extract-on-glycemic-con
250,The effect of whole body vibration on sensorimotor deficits in people with chronic ankle instability: A systematic review and meta-analysis,"Clark, C. C. T.",Aug-22,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-whole-body-vibration-on-sensorimotor-deficits-in-pe
251,The effects of capsinoids supplementation on body composition and anthropometric measures: A systematic review and dose–response meta-analysis of randomized controlled trials,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-capsinoids-supplementation-on-body-composition-and
252,The Effects of COVID-19 Lockdown on Glycaemic Control and Lipid Profile in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis,"Adegboye, A. R. A.",19-Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-covid-19-lockdown-on-glycaemic-control-and-lipid-p
253,The effects of lycopene supplementation on insulin-like growth factor-1 and insulin-like growth factor binding proteins: A systematic review of randomized controlled trials,"Clark, C. C. T.",Apr-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-lycopene-supplementation-on-insulin-like-growth-fa
254,"The effects of magnesium supplementation on abnormal uterine bleeding, alopecia, quality of life, and acne in women with polycystic ovary syndrome:  a randomized clinical trial","Clark, C. C. T.",2-Aug-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-magnesium-supplementation-on-abnormal-uterine-blee
255,The effects of olive leaf extract on cardiovascular risk factors in the general adult population: a systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-olive-leaf-extract-on-cardiovascular-risk-factors-
256,The effects of selenium supplementation on blood lipids and blood pressure in adults:  A systematic review and dose-response meta-analysis of randomized control trials,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-selenium-supplementation-on-blood-lipids-and-blood
257,"The efficacy and safety of zinc gluconate supplementation on quality of life, sleep quality, and serum albumin in hemodialysis patients: A randomized clinical trial","Clark, C. C. T.",Oct-22,https://pureportal.coventry.ac.uk/en/publications/the-efficacy-and-safety-of-zinc-gluconate-supplementation-on-qual
258,The English National Health Service Diabetes Prevention Programme (NHS DPP): A scoping review of existing evidence,"Whelan, M.",Jul-22,https://pureportal.coventry.ac.uk/en/publications/the-english-national-health-service-diabetes-prevention-programme
259,"The global burden of cancer attributable to risk factors, 2010–19: a systematic analysis for the Global Burden of Disease Study 2019",,20-Aug-22,https://pureportal.coventry.ac.uk/en/publications/the-global-burden-of-cancer-attributable-to-risk-factors-201019-a
260,The Impact of Technology-Facilitated Sexual Violence: A Literature Review of Qualitative Research,"Carter, G.",Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-technology-facilitated-sexual-violence-a-literature
261,"The influence of maturation, fitness, and hormonal indices on minutes played in elite youth soccer players: a cross-sectional study","Clark, C. C. T.",17-May-22,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-maturation-fitness-and-hormonal-indices-on-minut
262,"The interaction between rs 3,807,992 genotypes with the dietary inflammatory index on Leptin, Leptin resistance, and Galectin 3 in obese and overweight women","Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-interaction-between-rs-3807992-genotypes-with-the-dietary-inf
263,The relationship between animal flesh foods consumption and rheumatoid arthritis:  a case-control study,"Clark, C. C. T.",30-Jul-22,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-animal-flesh-foods-consumption-and-rheum
264,The relationship between dietary acid load and intensity of musculoskeletal pain condition: A population‐based study,"Clark, C. C. T.",Aug-22,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-acid-load-and-intensity-of-muscu
265,The relationship between dietary phytochemical index and resting metabolic rate mediated by inflammatory factors in overweight and obese women: a cross-sectional study,"Clark, C. C. T.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-phytochemical-index-and-resting-
266,"The relationship between dietary sulfur amino acids intake and severity and frequency of pain in Iranian patients with musculoskeletal pains, 2020","Clark, C. C. T.",10-Jan-22,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-sulfur-amino-acids-intake-and-se
267,TinnGO Living Labs,"Woodcock, A.",22-Sep-22,https://pureportal.coventry.ac.uk/en/publications/tinngo-living-labs
268,TInnGO tools,"Woodcock, A.",21-Sep-22,https://pureportal.coventry.ac.uk/en/publications/tinngo-tools
269,Toward Fairness-Aware Time-Sensitive Asynchronous Federated Learning for Critical Energy Infrastructure,"Wang, J.",1-May-22,https://pureportal.coventry.ac.uk/en/publications/toward-fairness-aware-time-sensitive-asynchronous-federated-learn
270,Towards Personalized Federated Learning Via Group Collaboration in IIoT,"Wang, J.",18-Nov-22,https://pureportal.coventry.ac.uk/en/publications/towards-personalized-federated-learning-via-group-collaboration-i
271,Training and fitness variability in elite youth soccer: perspectives from a difficulty prediction model,"Clark, C. C. T.",18-Mar-22,https://pureportal.coventry.ac.uk/en/publications/training-and-fitness-variability-in-elite-youth-soccer-perspectiv
272,Understanding gender and diversity sensitive smart mobility needs without access to users: The impact of COVID-19 pandemic on TInnGO design outcomes,"Magee, P.",18-Mar-22,https://pureportal.coventry.ac.uk/en/publications/understanding-gender-and-diversity-sensitive-smart-mobility-needs
273,Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,"Bul, K.",21-Nov-22,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo
274,Uterus Modeling from Cell to Organ Level: towards Better Understanding of Physiological Basis of Uterine Activity,"Xu, Y.",2022,https://pureportal.coventry.ac.uk/en/publications/uterus-modeling-from-cell-to-organ-level-towards-better-understan
275,UWB Radar Sensing for Respiratory Monitoring Exploiting Time- Frequency Spectrograms,"Saeed, U.",May-22,https://pureportal.coventry.ac.uk/en/publications/uwb-radar-sensing-for-respiratory-monitoring-exploiting-time-freq
276,Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease,"Allen, J.",1-Aug-22,https://pureportal.coventry.ac.uk/en/publications/validation-of-a-standardised-duplex-ultrasound-classification-sys
277,Validation of Computational Simulation for Tumor-treating Fields with Homogeneous Phantom,"Liu, H.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/validation-of-computational-simulation-for-tumor-treating-fields-
278,Validation of the Persian version of the sarcopenia-specific quality of life questionnaire (SarQoL®-IR),"Clark, C. C. T.",26-Oct-22,https://pureportal.coventry.ac.uk/en/publications/validation-of-the-persian-version-of-the-sarcopenia-specific-qual
279,What Are the Experiences of People with COPD Using Activity Monitors?: A Qualitative Scoping Review,"Wilde, L. J.",31-Dec-22,https://pureportal.coventry.ac.uk/en/publications/what-are-the-experiences-of-people-with-copd-using-activity-monit
280,Wireless Sensing for Human Activity Recognition Using USRP,"Shah, S. A.",11-Feb-22,https://pureportal.coventry.ac.uk/en/publications/wireless-sensing-for-human-activity-recognition-using-usrp
281,Zinc in depression: From development to treatment: A comparative/ dose response meta-analysis of observational studies and randomized controlled trials,"Clark, C. C. T.",1-Jan-22,https://pureportal.coventry.ac.uk/en/publications/zinc-in-depression-from-development-to-treatment-a-comparative-do
282,‘It’s definitely the future’: Healthcare practitioners’ views and experiences of activity monitors to support people with chronic obstructive pulmonary disease (COPD),"Wilde, L. J.",11-Nov-22,https://pureportal.coventry.ac.uk/en/publications/its-definitely-the-future-healthcare-practitioners-views-and-expe
283,‘It’s really just been a learning experience’: A qualitative study to explore the experiences of people with chronic obstructive pulmonary disease (COPD) using activity monitors,"Wilde, L. J.",11-Nov-22,https://pureportal.coventry.ac.uk/en/publications/its-really-just-been-a-learning-experience-a-qualitative-study-to
284,“Addicted to the tracker”?: Experiences of people with Chronic Obstructive Pulmonary Disease (COPD) using activity trackers,"Wilde, L. J.",25-Mar-22,https://pureportal.coventry.ac.uk/en/publications/addicted-to-the-tracker-experiences-of-people-with-chronic-obstru
285,"“ All the fun stuff, the teachers say, ‘that’s dangerous! ’” Hearing from children on safety and risk in active play in schools:  a systematic review","Jerebine, A.",25-Jun-22,https://pureportal.coventry.ac.uk/en/publications/all-the-fun-stuff-the-teachers-say-thats-dangerous-hearing-from-c
286,“Children are precious cargo; we don’t let them take any risks!”: Hearing from adults on safety and risk in children’s active play in schools: a systematic review,"Jerebine, A.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/children-are-precious-cargo-we-dont-let-them-take-any-risks-heari
